Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: medium
Afghanistan,AFG,2022,62.9
Afghanistan,AFG,2023,64.2
Afghanistan,AFG,2024,65.1
Afghanistan,AFG,2025,65.4
Afghanistan,AFG,2026,65.6
Afghanistan,AFG,2027,65.9
Afghanistan,AFG,2028,66.1
Afghanistan,AFG,2029,66.4
Afghanistan,AFG,2030,66.6
Afghanistan,AFG,2031,66.8
Afghanistan,AFG,2032,67
Afghanistan,AFG,2033,67.2
Afghanistan,AFG,2034,67.5
Afghanistan,AFG,2035,67.7
Afghanistan,AFG,2036,67.9
Afghanistan,AFG,2037,68
Afghanistan,AFG,2038,68.2
Afghanistan,AFG,2039,68.4
Afghanistan,AFG,2040,68.6
Afghanistan,AFG,2041,68.8
Afghanistan,AFG,2042,69
Afghanistan,AFG,2043,69.1
Afghanistan,AFG,2044,69.3
Afghanistan,AFG,2045,69.5
Afghanistan,AFG,2046,69.6
Afghanistan,AFG,2047,69.8
Afghanistan,AFG,2048,69.9
Afghanistan,AFG,2049,70.1
Afghanistan,AFG,2050,70.3
Afghanistan,AFG,2051,70.4
Afghanistan,AFG,2052,70.6
Afghanistan,AFG,2053,70.7
Afghanistan,AFG,2054,70.9
Afghanistan,AFG,2055,71
Afghanistan,AFG,2056,71.2
Afghanistan,AFG,2057,71.3
Afghanistan,AFG,2058,71.5
Afghanistan,AFG,2059,71.6
Afghanistan,AFG,2060,71.7
Afghanistan,AFG,2061,71.9
Afghanistan,AFG,2062,72
Afghanistan,AFG,2063,72.2
Afghanistan,AFG,2064,72.3
Afghanistan,AFG,2065,72.5
Afghanistan,AFG,2066,72.6
Afghanistan,AFG,2067,72.8
Afghanistan,AFG,2068,72.9
Afghanistan,AFG,2069,73.1
Afghanistan,AFG,2070,73.2
Afghanistan,AFG,2071,73.3
Afghanistan,AFG,2072,73.5
Afghanistan,AFG,2073,73.6
Afghanistan,AFG,2074,73.8
Afghanistan,AFG,2075,73.9
Afghanistan,AFG,2076,74
Afghanistan,AFG,2077,74.2
Afghanistan,AFG,2078,74.3
Afghanistan,AFG,2079,74.5
Afghanistan,AFG,2080,74.6
Afghanistan,AFG,2081,74.8
Afghanistan,AFG,2082,74.9
Afghanistan,AFG,2083,75.1
Afghanistan,AFG,2084,75.2
Afghanistan,AFG,2085,75.3
Afghanistan,AFG,2086,75.5
Afghanistan,AFG,2087,75.6
Afghanistan,AFG,2088,75.8
Afghanistan,AFG,2089,75.9
Afghanistan,AFG,2090,76.1
Afghanistan,AFG,2091,76.2
Afghanistan,AFG,2092,76.4
Afghanistan,AFG,2093,76.5
Afghanistan,AFG,2094,76.6
