Entity,Code,Year,Life_exp
Africa,,1770,26.4
Africa,,1925,26.4
Africa,,1950,37.6
Africa,,1951,37.9
Africa,,1952,38.4
Africa,,1953,38.9
Africa,,1954,39.3
Africa,,1955,39.8
Africa,,1956,40.2
Africa,,1957,40.0
Africa,,1958,40.3
Africa,,1959,41.3
Africa,,1960,41.5
Africa,,1961,41.9
Africa,,1962,42.3
Africa,,1963,42.8
Africa,,1964,43.2
Africa,,1965,43.4
Africa,,1966,43.4
Africa,,1967,43.6
Africa,,1968,44.1
Africa,,1969,44.3
Africa,,1970,44.8
Africa,,1971,45.3
Africa,,1972,45.4
Africa,,1973,46.2
Africa,,1974,46.5
Africa,,1975,46.9
Africa,,1976,47.6
Africa,,1977,48.2
Africa,,1978,48.6
Africa,,1979,49.1
Africa,,1980,49.5
Africa,,1981,49.9
Africa,,1982,50.3
Africa,,1983,49.6
Africa,,1984,49.7
Africa,,1985,50.1
Africa,,1986,50.6
Africa,,1987,50.9
Africa,,1988,50.4
Africa,,1989,51.7
Africa,,1990,51.6
Africa,,1991,51.5
Africa,,1992,51.2
Africa,,1993,51.5
Africa,,1994,50.5
Africa,,1995,52.1
Africa,,1996,52.1
Africa,,1997,52.3
Africa,,1998,51.9
Africa,,1999,52.8
Africa,,2000,53.3
Africa,,2001,53.6
Africa,,2002,54.0
Africa,,2003,54.4
Africa,,2004,54.9
Africa,,2005,55.5
Africa,,2006,56.1
Africa,,2007,56.7
Africa,,2008,57.3
Africa,,2009,58.0
Africa,,2010,58.6
Africa,,2011,59.3
Africa,,2012,59.8
Africa,,2013,60.3
Africa,,2014,60.7
Africa,,2015,61.1
Africa,,2016,61.6
Africa,,2017,62.0
Africa,,2018,62.3
Africa,,2019,62.7
Africa,,2020,62.2
Africa,,2021,61.7
Americas,,1770,34.8
Americas,,1830,34.8
Americas,,1850,35.1
Americas,,1870,35.1
Americas,,1900,41.0
Americas,,1913,45.1
Americas,,1950,58.12
Americas,,1951,58.37
Americas,,1952,58.83
Americas,,1953,59.25
Americas,,1954,59.96
Americas,,1955,60.29
Americas,,1956,60.56
Americas,,1957,60.75
Americas,,1958,61.18
Americas,,1959,61.55
Americas,,1960,61.83
Americas,,1961,62.24
Americas,,1962,62.42
Americas,,1963,62.5
Americas,,1964,62.86
Americas,,1965,63.14
Americas,,1966,63.26
Americas,,1967,63.57
Americas,,1968,63.6
Americas,,1969,63.87
Americas,,1970,63.97
Americas,,1971,64.62
Americas,,1972,64.81
Americas,,1973,65.14
Americas,,1974,65.65
Americas,,1975,66.11
Americas,,1976,66.32
Americas,,1977,66.8
Americas,,1978,67.08
Americas,,1979,67.39
Americas,,1980,67.56
Americas,,1981,68.0
Americas,,1982,68.31
Americas,,1983,68.69
Americas,,1984,69.0
Americas,,1985,69.16
Americas,,1986,69.54
Americas,,1987,69.87
Americas,,1988,70.1
Americas,,1989,70.44
Americas,,1990,70.73
Americas,,1991,70.95
Americas,,1992,71.3
Americas,,1993,71.41
Americas,,1994,71.68
Americas,,1995,71.94
Americas,,1996,72.3
Americas,,1997,72.59
Americas,,1998,72.85
Americas,,1999,73.09
Americas,,2000,73.31
Americas,,2001,73.57
Americas,,2002,73.82
Americas,,2003,73.95
Americas,,2004,74.34
Americas,,2005,74.59
Americas,,2006,74.83
Americas,,2007,74.96
Americas,,2008,75.19
Americas,,2009,75.46
Americas,,2010,75.34
Americas,,2011,75.82
Americas,,2012,75.98
Americas,,2013,76.16
Americas,,2014,76.32
Americas,,2015,76.29
Americas,,2016,76.28
Americas,,2017,76.37
Americas,,2018,76.51
Americas,,2019,76.71
Americas,,2020,74.85
Americas,,2021,74.2
Asia,,1770,27.5
Asia,,1885,27.5
Asia,,1900,28.0
Asia,,1913,28.1
Asia,,1950,42.0
Asia,,1951,43.0
Asia,,1952,44.3
Asia,,1953,44.9
Asia,,1954,45.8
Asia,,1955,46.3
Asia,,1956,46.8
Asia,,1957,47.3
Asia,,1958,47.8
Asia,,1959,44.3
Asia,,1960,41.7
Asia,,1961,45.3
Asia,,1962,49.6
Asia,,1963,50.3
Asia,,1964,50.9
Asia,,1965,50.6
Asia,,1966,51.5
Asia,,1967,52.1
Asia,,1968,53.0
Asia,,1969,53.6
Asia,,1970,53.9
Asia,,1971,53.4
Asia,,1972,55.3
Asia,,1973,55.9
Asia,,1974,56.4
Asia,,1975,56.7
Asia,,1976,57.2
Asia,,1977,58.0
Asia,,1978,58.5
Asia,,1979,59.1
Asia,,1980,59.6
Asia,,1981,60.1
Asia,,1982,60.6
Asia,,1983,61.1
Asia,,1984,61.5
Asia,,1985,62.0
Asia,,1986,62.5
Asia,,1987,62.9
Asia,,1988,63.3
Asia,,1989,63.7
Asia,,1990,64.0
Asia,,1991,64.2
Asia,,1992,64.8
Asia,,1993,65.1
Asia,,1994,65.4
Asia,,1995,65.7
Asia,,1996,66.0
Asia,,1997,66.4
Asia,,1998,66.9
Asia,,1999,67.2
Asia,,2000,67.6
Asia,,2001,68.1
Asia,,2002,68.5
Asia,,2003,68.9
Asia,,2004,69.2
Asia,,2005,69.6
Asia,,2006,70.1
Asia,,2007,70.3
Asia,,2008,70.5
Asia,,2009,71.0
Asia,,2010,71.3
Asia,,2011,71.7
Asia,,2012,72.0
Asia,,2013,72.4
Asia,,2014,72.8
Asia,,2015,73.1
Asia,,2016,73.4
Asia,,2017,73.7
Asia,,2018,74.0
Asia,,2019,74.2
Asia,,2020,73.7
Asia,,2021,72.5
Europe,,1770,34.3
Europe,,1800,33.3
Europe,,1820,35.6
Europe,,1850,36.3
Europe,,1870,36.2
Europe,,1900,42.7
Europe,,1913,46.8
Europe,,1950,62.8
Europe,,1951,62.8
Europe,,1952,64.0
Europe,,1953,64.7
Europe,,1954,65.5
Europe,,1955,66.0
Europe,,1956,66.9
Europe,,1957,66.9
Europe,,1958,68.2
Europe,,1959,68.1
Europe,,1960,68.8
Europe,,1961,69.1
Europe,,1962,68.9
Europe,,1963,69.2
Europe,,1964,69.9
Europe,,1965,69.8
Europe,,1966,70.0
Europe,,1967,70.0
Europe,,1968,69.9
Europe,,1969,69.6
Europe,,1970,70.0
Europe,,1971,70.1
Europe,,1972,70.3
Europe,,1973,70.4
Europe,,1974,70.6
Europe,,1975,70.5
Europe,,1976,70.6
Europe,,1977,70.9
Europe,,1978,70.9
Europe,,1979,71.0
Europe,,1980,70.9
Europe,,1981,71.2
Europe,,1982,71.5
Europe,,1983,71.5
Europe,,1984,71.6
Europe,,1985,71.7
Europe,,1986,72.5
Europe,,1987,72.7
Europe,,1988,72.8
Europe,,1989,72.9
Europe,,1990,72.9
Europe,,1991,72.9
Europe,,1992,72.7
Europe,,1993,72.1
Europe,,1994,72.1
Europe,,1995,72.2
Europe,,1996,72.7
Europe,,1997,73.2
Europe,,1998,73.6
Europe,,1999,73.4
Europe,,2000,73.5
Europe,,2001,73.8
Europe,,2002,73.8
Europe,,2003,73.8
Europe,,2004,74.4
Europe,,2005,74.5
Europe,,2006,75.2
Europe,,2007,75.6
Europe,,2008,75.8
Europe,,2009,76.3
Europe,,2010,76.5
Europe,,2011,77.1
Europe,,2012,77.3
Europe,,2013,77.6
Europe,,2014,77.9
Europe,,2015,78.0
Europe,,2016,78.4
Europe,,2017,78.7
Europe,,2018,78.8
Europe,,2019,79.1
Europe,,2020,77.7
Europe,,2021,77.0
Oceania,,1770,35.3
Oceania,,1820,34.2
Oceania,,1870,34.7
Oceania,,1900,47.6
Oceania,,1913,51.0
Oceania,,1950,61.4
Oceania,,1951,60.6
Oceania,,1952,62.0
Oceania,,1953,62.7
Oceania,,1954,63.0
Oceania,,1955,63.4
Oceania,,1956,63.6
Oceania,,1957,64.0
Oceania,,1958,64.6
Oceania,,1959,64.5
Oceania,,1960,65.1
Oceania,,1961,65.4
Oceania,,1962,65.4
Oceania,,1963,65.7
Oceania,,1964,65.5
Oceania,,1965,65.8
Oceania,,1966,65.8
Oceania,,1967,66.3
Oceania,,1968,66.2
Oceania,,1969,66.7
Oceania,,1970,66.6
Oceania,,1971,67.4
Oceania,,1972,67.8
Oceania,,1973,68.0
Oceania,,1974,68.1
Oceania,,1975,68.8
Oceania,,1976,68.9
Oceania,,1977,69.4
Oceania,,1978,69.8
Oceania,,1979,70.3
Oceania,,1980,70.5
Oceania,,1981,70.9
Oceania,,1982,70.9
Oceania,,1983,71.5
Oceania,,1984,71.7
Oceania,,1985,71.6
Oceania,,1986,72.1
Oceania,,1987,72.2
Oceania,,1988,72.5
Oceania,,1989,72.5
Oceania,,1990,73.2
Oceania,,1991,73.6
Oceania,,1992,73.6
Oceania,,1993,74.0
Oceania,,1994,74.0
Oceania,,1995,74.3
Oceania,,1996,74.3
Oceania,,1997,74.6
Oceania,,1998,74.7
Oceania,,1999,75.1
Oceania,,2000,75.4
Oceania,,2001,75.6
Oceania,,2002,75.5
Oceania,,2003,75.8
Oceania,,2004,76.0
Oceania,,2005,76.4
Oceania,,2006,76.5
Oceania,,2007,76.5
Oceania,,2008,76.8
Oceania,,2009,77.0
Oceania,,2010,77.4
Oceania,,2011,77.5
Oceania,,2012,77.7
Oceania,,2013,78.0
Oceania,,2014,78.0
Oceania,,2015,78.2
Oceania,,2016,78.4
Oceania,,2017,78.5
Oceania,,2018,78.8
Oceania,,2019,78.7
Oceania,,2020,79.5
Oceania,,2021,79.4
World,OWID_WRL,1770,28.5
World,OWID_WRL,1800,28.5
World,OWID_WRL,1820,29.0
World,OWID_WRL,1850,29.3
World,OWID_WRL,1870,29.7
World,OWID_WRL,1900,32.0
World,OWID_WRL,1913,34.1
World,OWID_WRL,1950,46.5
World,OWID_WRL,1951,47.1
World,OWID_WRL,1952,48.2
World,OWID_WRL,1953,48.8
World,OWID_WRL,1954,49.6
World,OWID_WRL,1955,50.1
World,OWID_WRL,1956,50.6
World,OWID_WRL,1957,50.9
World,OWID_WRL,1958,51.5
World,OWID_WRL,1959,49.3
World,OWID_WRL,1960,47.7
World,OWID_WRL,1961,50.4
World,OWID_WRL,1962,53.1
World,OWID_WRL,1963,53.6
World,OWID_WRL,1964,54.2
World,OWID_WRL,1965,53.9
World,OWID_WRL,1966,54.5
World,OWID_WRL,1967,54.9
